resource,endpoint,predicate,count,provider
http://d-nb.info/standards/vocab/gnd/Gender,data.rism.info,gndo:gender,52717,DNB
http://d-nb.info/gnd,202.45.139.84:10035,skos:exactMatch,10890,DNB
http://d-nb.info/gnd,data.rism.info,owl:sameAs,22419,DNB
http://d-nb.info/standards/elementset/gnd,linkeddata.uriburner.com,rdf:type,1702,DNB
http://d-nb.info/gnd,202.45.139.84:10035,skos:closeMatch,1002,DNB
http://d-nb.info,lod.openlinksw.com,rdf:type,1,DNB
http://d-nb.info/gnd,zbw.eu,skos:broadMatch,75,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:aut,12506,DNB
http://d-nb.info/gnd,data.rism.info,foaf:homepage,2,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:hnr,96,DNB
http://d-nb.info/standards/vocab/gnd/geographic-area-code,linkeddata.uriburner.com,rdf:type,1,DNB
http://d-nb.info/gnd,skos.um.es,skos:closeMatch,6660,DNB
http://d-nb.info/gnd,id.sgcb.mcu.es,rdfs:label,15090,DNB
http://d-nb.info/gnd,zbw.eu,skos:exactMatch,1573,DNB
http://d-nb.info/gnd,lod.b3kat.de,dcterms:contributor,8164,DNB
http://d-nb.info/standards/elementset/agrelon.owl,lod.openlinksw.com,rdf:type,55,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:edt,260,DNB
http://d-nb.info/gnd,id.sgcb.mcu.es,skos:closeMatch,30831,DNB
http://d-nb.info/standards/elementset/gnd,lod.openlinksw.com,rdf:type,334,DNB
http://d-nb.info/gnd,linkeddata.uriburner.com,rdf:type,1418,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:ant,35,DNB
http://d-nb.info/gnd,lod.b3kat.de,dcterms:creator,11158,DNB
http://d-nb.info/gnd,zbw.eu,skos:narrowMatch,2336,DNB
http://d-nb.info/gnd,lod.b3kat.de,bibo:editor,639,DNB
http://d-nb.info/gnd,data.rism.info,umbel:isLike,6,DNB
http://d-nb.info/gnd,zbw.eu,skos:relatedMatch,947,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:cmp,1,DNB
http://d-nb.info/gnd,data.szepmuveszeti.hu,skos:closeMatch,6660,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:red,16,DNB
http://d-nb.info/gnd,lod.b3kat.de,dcterms:subject,26316,DNB
http://d-nb.info/standards/vocab/gnd/gnd-sc,linkeddata.uriburner.com,rdf:type,1,DNB
http://d-nb.info/gnd,aliada.scanbit.net:8891,skos:closeMatch,6660,DNB
http://d-nb.info/gnd,lod.b3kat.de,marcrel:trl,6,DNB
http://libris.kb.se/resource/auth,linkeddata.uriburner.com,rdf:type,1,LIBRIS
http://lab3.libris.kb.se/sparql,linkeddata.uriburner.com,rdf:type,1,LIBRIS
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:useFor,4076,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:useFor,437,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasMADSCollectionMember,2204,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:useFor,2038,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:hasBroaderAuthority,816,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:deprecatedLabel,39,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSScheme,1068,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:hasMADSCollectionMember,1030,LOC
http://id.loc.gov/vocabulary/countries,bnb.data.bl.uk,rdfs:label,29,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,rdf:type,2485,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,rdfs:label,3,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasBroaderAuthority,156,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasNarrowerAuthority,156,LOC
